SchoolName,Area,Type,Affiliations,Parent Volunteer,CCA Sports,CCA Arts,CCA Clubs,CCA Uniformed Groups
"Montfort Junior School - Boys only, Affiliated",Hougang,"Gov-aided, Boys only",Montfort Secondary School,,"Badminton, Football, Table Tennis, Taekwondo","Guitar Ensemble, Modern Dance","Art and Crafts, Robotics",Scouts
Fernvale Primary School,Sengkang,Mixed-gender,-,,"Badminton, Basketball, Wushu, Floorball","Guitar Ensemble, Guzheng Ensemble, Percussion Ensemble, Indian Dance","Art and Crafts, Malay Culture and Language, Environmental Science, Infocomm Technology (Media Production)",Scouts
Guangyang Primary School,Bishan,Mixed-gender,-,,"Badminton, Basketball, Wushu","Angklung/Kulintang Ensemble, String Ensemble, Handbell Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Infocomm Technology (Computing), Chinese Weiqi, Physical Science",Girl Guides (Brownies)
Hong Wen School,Kallang,"Gov-aided, Mixed-gender, SAP",-,40h,"Badminton, Basketball, Football, Table Tennis, Wushu, Rope Skipping","Chinese Orchestra, Choir, Guzheng Ensemble, Chinese Dance, Chinese Drums","Art and Crafts, Chinese Calligraphy and Brush Painting, Chinese Chess, Chinese Weiqi, Environmental Science, Infocomm Technology (Media Production)",
Juying Primary School,Jurong West,Mixed-gender,-,,"Basketball, Football, Taekwondo","Choir, Percussion Ensemble, Modern Dance, Chinese Dance, Malay Dance","Robotics, Environmental Science",
Eunos Primary School,Geylang,Mixed-gender,-,,"Basketball, Netball, Football, Wushu","Choir, Modern Dance, Cultural Dance","Art and Crafts, Robotics, Environmental Science, Infocomm Technology (Media Production)",Red Cross Youth
Woodlands Primary School,Woodlands,Mixed-gender,-,,"Badminton, Football, Volleyball, Tchoukball","Choir, Handbell Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Chinese Culture and Language, Robotics, Speech and Drama, Media Resource Library",Scouts
Yuhua Primary School,Jurong East,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Track and Field, Volleyball","Angklung/Kulintang Ensemble, Choir, Brass Band, Chinese Dance",Art and Crafts,Scouts
Geylang Methodist School (Primary) - Affiliated,Geylang,"Gov-aided, Mixed-gender",Geylang Methodist School (Secondary),,"Badminton, Basketball, Netball, Football, Rope Skipping","Angklung/Kulintang Ensemble, Choir, Guzheng Ensemble, Handbell Ensemble, Modern Dance","Art and Crafts, English Culture and Language, Environmental Science","Boys’ Brigade, Girls’ Brigade"
Tampines Primary School,Tampines,Mixed-gender,-,,"Basketball, Football, Floorball, Modular CCA (Sports)","Choir, Guzheng Ensemble, Modern Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Entrepreneurship, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
New Town Primary School,Queenstown,Mixed-gender,-,,"Badminton, Basketball, Netball, Football","Choir, Brass Band, Modern Dance, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics, Speech and Drama, Infocomm Technology (Media Production)","Red Cross Youth, Girl Guides (Brownies)"
Boon Lay Garden Primary School,Jurong West,Mixed-gender,-,,"Track and Field, Taekwondo, Wushu, Floorball, Bowling","Choir, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Audio Visual Aid, Design and Innovation, Environmental Science","Red Cross Youth, Scouts"
Anchor Green Primary School,Sengkang,Mixed-gender,-,,"Basketball, Netball, Wushu, Floorball","Choir, Guzheng Ensemble, Handbell Ensemble, Modern Dance, English Drama, Chinese Drums","Art and Crafts, International Chess, Robotics, Environmental Science, Infocomm Technology (Media Production)",Scouts
Greenwood Primary School,Woodlands,Mixed-gender,-,,"Basketball, Rugby, Track and Field, Volleyball, Rope Skipping","Angklung/Kulintang Ensemble, Choir, String Ensemble, Chinese Dance, Indian Dance, Malay Dance, Chinese Drums","Art and Crafts, English Language, Drama and Debating, Dikir Barat, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Lianhua Primary School,Bukit Batok,Mixed-gender,-,,"Basketball, Football, Volleyball","Gamelan Ensemble, Handbell Ensemble, Percussion Ensemble, Modern Dance, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics, Digital Media, Physical Science",Scouts
"Paya Lebar Methodist Girls’ School (Primary) - Girls only, Affiliated",Hougang,"Gov-aided, Girls only",Paya Lebar Methodist Girls’ School (Secondary),,"Badminton, Track and Field, Table Tennis, Rhythmic Gymnastics, Rope Skipping, Modular CCA (Sports)","Angklung/Kulintang Ensemble, Choir, String Ensemble, Handbell Ensemble, Modern Dance","Art and Crafts, Infocomm Technology (Computing), Environmental Science",Girls’ Brigade
Jurong West Primary School,Jurong West,Mixed-gender,-,,"Badminton, Basketball, Hockey, Netball, Football, Track and Field","Choir, Chinese Dance, Concert Band",Art and Crafts,Scouts
Innova Primary School,Woodlands,Mixed-gender,-,,"Badminton, Netball, Track and Field, Table Tennis, Tennis, Wushu, Volleyball, Rope Skipping","Choir, Harmonica Ensemble, Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Robotics, Environmental Science","Red Cross Youth, Girl Guides (Brownies)"
Frontier Primary School,Jurong West,Mixed-gender,-,"40h, apply in Jan-Apr","Badminton, Basketball, Rugby, Softball, Rockwall Climbing","Choir, String Ensemble, Modern Dance, Chinese Dance","Art and Crafts, Design and Innovation, Environmental Science","Red Cross Youth, Scouts"
First Toa Payoh Primary School,Toa Payoh,Mixed-gender,-,,"Basketball, Football",Choir,,"Boys’ Brigade, Girls’ Brigade, Scouts, Girl Guides (Brownies)"
Xishan Primary School,Yishun,Mixed-gender,-,,"Badminton, Basketball, Hockey, Volleyball, Floorball","String Ensemble, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Environmental Science, Infocomm Technology (Media Production), Strategy Games","Red Cross Youth, Scouts"
"Anglo-Chinese School (Junior) - Boys only, Affiliated",Central,"Gov-aided, Boys only","Anglo-Chinese School (Barker Road), Anglo-Chinese School (Independent)",,"Badminton, Rugby, Football, Sailing, Table Tennis, Tennis, Bowling","Choir, String Ensemble, Modern Dance, Concert Band","Art and Crafts, International Chess, Physical Science","Boys’ Brigade, Scouts"
Marymount Convent School - Girls only,Toa Payoh,"Gov-aided, Girls only",-,,"Badminton, Netball, Tennis, Artistic Gymnastics, Rhythmic Gymnastics","Choir, Ensemble -Mixed Instrument, Modern Dance, English Drama","Art and Crafts, Environmental Science, Technology Club",Girl Guides (Brownies)
St. Hilda’s Primary School - Affiliated,Tampines,"Gov-aided, Mixed-gender",St. Hilda’s Secondary School,"Weekly for 2 years, apply by Aug","Hockey, Netball, Sailing, Table Tennis, Volleyball","Choir, String Ensemble, Guzheng Ensemble, Modern Dance, English Drama","Art and Crafts, International Chess, Media Resource Library, Infocomm Technology (Media Production)","Boys’ Brigade, Girls’ Brigade"
"CHIJ Primary (Toa Payoh) - Girls only, Affiliated",Toa Payoh,"Gov-aided, Girls only",CHIJ Secondary (Toa Payoh),Central Parents Council 🔗,"Fencing, Netball, Swimming, Tennis, Artistic Gymnastics","Choir, Handbell Ensemble","Art and Crafts, Digital Media",Girl Guides (Brownies)
Pioneer Primary School,Jurong West,Mixed-gender,-,,"Netball, Football, Track and Field, Wushu","Chinese Orchestra, Choir, Modern Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics, Physical Science","Boys’ Brigade, Girls’ Brigade, Scouts"
Oasis Primary School,Punggol,Mixed-gender,-,,,,,
Hougang Primary School,Hougang,Mixed-gender,-,,"Hockey, Football, Wushu, Volleyball, Health and Fitness, Rockwall Climbing","Angklung/Kulintang Ensemble, Brass Band, Guzheng Ensemble, Ballet, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Photography, Ceramics, Infocomm Technology (Computing), Media Resource Library, Environmental Science",Scouts
Kheng Cheng School,Toa Payoh,"Gov-aided, Mixed-gender",-,,Basketball,"Angklung/Kulintang Ensemble, Chinese Orchestra, Choir","Art and Crafts, Infocomm Technology (Media Production)",Red Cross Youth
Teck Ghee Primary School,Ang Mo Kio,Mixed-gender,-,"40h, apply by Apr","Basketball, Volleyball, Rope Skipping, Health and Fitness","Choir, Guzheng Ensemble, Modern Dance, Chinese Dance","Art and Crafts, Robotics, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Qifa Primary School,Clementi,Mixed-gender,-,,"Basketball, Table Tennis, Wushu, Volleyball, Floorball","Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
"Maris Stella High School - Boys only, Affiliated",Toa Payoh,"Autonomous, Gov-aided, Boys only, SAP",Maris Stella High School,,"Badminton, Basketball, Softball, Table Tennis, Taekwondo, Wushu, Bowling, Modular CCA (Sports), Rockwall Climbing","String Ensemble, Concert Band","Art and Crafts, International Chess, Mathematics, Chinese Culture and Language, Robotics, Speech and Drama, Chinese Chess, Environmental Science, Infocomm Technology (Media Production), Physical Science",Scouts
Stamford Primary School,Central,Mixed-gender,-,,"Football, Floorball, Tchoukball","Dance - International, Chinese Instrumental Ensemble","Art and Crafts, Innovators’ Club",Scouts
Damai Primary School,Bedok,Mixed-gender,-,,"Rugby, Wushu, Floorball, Rope Skipping, Tchoukball","Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, Photography, Robotics, Environmental Science","Red Cross Youth, Girl Guides (Brownies)"
Zhonghua Primary School,Serangoon,Mixed-gender,-,,"Sepaktakraw, Football, Volleyball","Choir, Chinese Dance, Indian Dance, Malay Dance",Art and Crafts,Scouts
Junyuan Primary School,Tampines,Mixed-gender,-,,"Taekwondo, Volleyball, Floorball, Tchoukball","Choir, Modern Dance, Chinese Dance, Malay Dance, Pop and Jazz","Art and Crafts, Speech and Drama, Media Resource Library, Environmental Science, Infocomm Technology (Media Production)",Scouts
Xinmin Primary School,Hougang,Mixed-gender,-,,"Basketball, Football, Volleyball, Modular CCA (Sports)","Choir, Guzheng Ensemble, Modern Dance, Chinese Dance","Art and Crafts, Environmental Science, Infocomm Technology (Media Production)","Red Cross Youth, Scouts, Girl Guides (Brownies)"
Radin Mas Primary School,Bukit Merah,Mixed-gender,-,,"Basketball, Hockey, Rugby, Football, Table Tennis","Chinese Orchestra, Choir, Chinese Dance","Art and Crafts, Media Resource Library","Boys’ Brigade, Girls’ Brigade, Scouts"
Seng Kang Primary School,Sengkang,Mixed-gender,-,,,,,
Peiying Primary School,Yishun,Mixed-gender,-,,"Netball, Sepaktakraw, Swimming, Volleyball, Outdoor Adventure","Angklung/Kulintang Ensemble, Choir, Modern Dance, English Drama","Art and Crafts, Mathematics, Infocomm Technology (Media Production), Physical Science","Red Cross Youth, Girl Guides (Brownies)"
Concord Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Sepaktakraw, Volleyball, Floorball","Choir, Brass Band, Indian Dance",,
Bendemeer Primary School,Kallang,Mixed-gender,-,,"Sepaktakraw, Wushu, Rope Skipping","Chinese Dance, Indian Dance, Malay Dance, Concert Band",,
Haig Girls’ School - Girls only,Geylang,Girls only,-,,"Badminton, Netball, Football, Wushu, Bowling","Choir, Gamelan Ensemble, Handbell Ensemble, Modern Dance, Chinese Dance, Indian Dance","Art and Crafts, English Language, Drama and Debating, Physical Science","Red Cross Youth, Girl Guides (Brownies)"
Yangzheng Primary School,Serangoon,Mixed-gender,-,,"Basketball, Football, Wushu, Rope Skipping","Guzheng Ensemble, Modern Dance, Dance - International, Chinese Dance, Concert Band","Art and Crafts, Chinese Calligraphy and Brush Painting, Digital Media, Environmental Science, Scrabble Club","Scouts, Girl Guides (Brownies)"
Admiralty Primary School,Woodlands,Mixed-gender,-,,"Football, Track and Field, Wushu, Rope Skipping, Modular CCA (Sports)","Choir, Guitar Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Photography, Infocomm Technology (Computing), Design and Innovation, Environmental Science","Scouts, Girl Guides (Brownies)"
Punggol Primary School,Hougang,Mixed-gender,-,,"Basketball, Hockey, Health and Fitness, Modular CCA (Sports)","Angklung/Kulintang Ensemble, Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, English Language, Drama and Debating, Chinese Calligraphy and Brush Painting, Infocomm Technology (Computing), Design and Innovation, Media Resource Library, Infocomm Technology (Media Production)","Boys’ Brigade, Girls’ Brigade"
"St. Joseph’s Institution Junior - Boys only, Affiliated",Novena,"Gov-aided, Boys only","St. Joseph’s Institution, St. Patrick’s School",,"Badminton, Football, Tennis, Bowling","Choir, Modern Dance","Art and Crafts, International Chess, Robotics",Scouts
Si Ling Primary School,Woodlands,Mixed-gender,-,,"Basketball, Sepaktakraw, Football, Floorball","Choir, Guitar Ensemble","Art and Crafts, Environmental Science",Girl Guides (Brownies)
Jurong Primary School,Jurong East,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Track and Field, Floorball, Outdoor Adventure","Choir, Guzheng Ensemble, Percussion Ensemble, Modern Dance, Cultural Dance","Art and Crafts, Robotics, Digital Media, Environmental Science","Scouts, Girl Guides (Brownies)"
Westwood Primary School,Jurong West,Mixed-gender,-,,"Football, Wushu","Choir, Chinese Dance, Malay Dance","Infocomm Technology (Computing), English Culture and Language",Boys’ Brigade
Lakeside Primary School,Jurong West,Mixed-gender,-,,"Football, Wushu, Volleyball, Rope Skipping","Choir, Harmonica Ensemble, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, Speech and Drama, Dikir Barat, Media Resource Library, Environmental Science, Infocomm Technology (Media Production)",Scouts
Alexandra Primary School,Bukit Merah,Mixed-gender,-,,"Badminton, Basketball, Rugby, Softball, Track and Field, Table Tennis, Tchoukball","Choir, Harmonica Ensemble, Modern Dance, English Drama, Chinese Drums","Art and Crafts, International Chess, Chinese Culture and Language, Robotics, Environmental Science, Infocomm Technology (Media Production), Cheerleading",Scouts
"CHIJ Our Lady Queen of Peace - Girls only, Affiliated",Bukit Panjang,"Gov-aided, Girls only",CHIJ St. Theresa’s Convent,,"Netball, Softball","Choir, Modern Dance, Chinese Dance, English Drama","Art and Crafts, Physical Science",Girl Guides (Brownies)
Bedok Green Primary School,Bedok,Mixed-gender,-,,"Badminton, Basketball, Rugby, Football","Angklung/Kulintang Ensemble, Choir, Guzheng Ensemble, Chinese Dance, Malay Dance, English Drama","Art and Crafts, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Valour Primary School,Punggol,Mixed-gender,-,,,,,
Townsville Primary School,Ang Mo Kio,Mixed-gender,-,,"Badminton, Football, Taekwondo, Floorball","Angklung/Kulintang Ensemble, Choir, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, English Language, Drama and Debating, Robotics, Infocomm Technology (Media Production), Food and Consumer Education","Boys’ Brigade, Girls’ Brigade"
"St. Gabriel’s Primary School - Boys only, Affiliated",Serangoon,"Gov-aided, Boys only",St. Gabriel’s Secondary School,,"Badminton, Basketball, Football, Track and Field, Wushu, Golf",Brass Band,"Art and Crafts, Robotics, Catholic Activities Council, Infocomm Technology (Media Production), Physical Science",Scouts
Holy Innocents’ Primary School - Affiliated,Hougang,"Gov-aided, Mixed-gender, SAP",Holy Innocent’s High School,40h,"Badminton, Basketball, Football, Wushu, Rope Skipping, Outdoor Adventure","Chinese Orchestra, Choir, Guzheng Ensemble, Chinese Dance","Art and Crafts, Chinese Culture and Language, Robotics, Chinese Weiqi, Media Resource Library, Infocomm Technology (Media Production), Physical Science","Red Cross Youth, Girl Guides (Brownies)"
Chongfu School,Yishun,"Gov-aided, Mixed-gender",-,"80h, apply in Sep-Oct 🔗, or via Singapore Hokkein Huay Kuan, 2y membership, 80h 🔗","Track and Field, Table Tennis, Wushu, Floorball, Outdoor Adventure","Chinese Orchestra, Guzheng Ensemble, Percussion Ensemble, Modern Dance, Malay Dance","Art and Crafts, Infocomm Technology (Computing), Speech and Drama, English Culture and Language, Environmental Science","Red Cross Youth, Scouts, Girl Guides (Brownies)"
Ahmad Ibrahim Primary School,Yishun,Mixed-gender,-,,"Badminton, Volleyball, Rope Skipping","Angklung/Kulintang Ensemble, Choir, Harmonica Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Photography, Robotics",Scouts
Temasek Primary School,Bedok,Mixed-gender,-,,"Badminton, Netball, Football, Track and Field, Taekwondo","Choir, Guitar Ensemble, Modern Dance","Art and Crafts, Robotics, English Culture and Language, Infocomm Technology (Media Production)","Red Cross Youth, Scouts, Girl Guides (Brownies)"
Marsiling Primary School,Woodlands,Mixed-gender,-,,"Rugby, Track and Field, Taekwondo, Tchoukball, Modular CCA (Sports)","Choir, Percussion Ensemble, Chinese Dance, Malay Dance","Art and Crafts, Speech and Drama, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
Pei Hwa Presbyterian Primary School,Bukit Timah,"Gov-aided, Mixed-gender, SAP",-,40h,"Track and Field, Table Tennis, Wushu, Rhythmic Gymnastics, Tchoukball","Choir, Guitar Ensemble, Guzheng Ensemble, Chinese Dance, Chinese Drums","Art and Crafts, Chinese Society, Robotics","Boys’ Brigade, Girls’ Brigade"
Anderson Primary School,Ang Mo Kio,Mixed-gender,-,"40h, apply in Feb-May","Badminton, Basketball, Football, Volleyball","Angklung/Kulintang Ensemble, Guitar Ensemble, Brass Band, Guzheng Ensemble, Modern Dance, English Drama","Art and Crafts, Robotics, Infocomm Technology (Media Production)","Boys’ Brigade, Girls’ Brigade"
Clementi Primary School,Clementi,Mixed-gender,-,,"Badminton, Basketball, Football, Taekwondo, Floorball, Rope Skipping","Choir, Brass Band, Modern Dance, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, International Chess, English Language, Drama and Debating, Robotics, Environmental Science, Infocomm Technology (Media Production)",Girl Guides (Brownies)
Punggol Cove Primary School,Punggol,Mixed-gender,-,,"Badminton, Basketball, Football, Floorball, Health and Fitness, Modular CCA (Sports)","Choir, Modern Dance, English Drama","Art and Crafts, Infocomm Technology (Computing), Environmental Science",Scouts
"Singapore Chinese Girls’ Primary School - Girls only, Affiliated",Novena,"Gov-aided, Girls only",Singapore Chinese Girls’ School,40h,"Badminton, Swimming, Tennis, Artistic Gymnastics, Modular CCA (Sports)","Choir, String Ensemble, Handbell Ensemble, Modern Dance, English Drama","Art and Crafts, Chinese Culture and Language, Robotics, Infocomm Technology (Media Production)",Girl Guides (Brownies)
Henry Park Primary School,Bukit Timah,Mixed-gender,-,"40h, apply in Nov","Badminton, Netball, Football, Track and Field, Table Tennis, Tennis, Artistic Gymnastics, Modular CCA (Sports)","Chinese Orchestra, Choir, String Ensemble, Modern Dance, Chinese Dance",Art and Crafts,"Girls’ Brigade, Scouts, Girl Guides (Brownies)"
Springdale Primary School,Sengkang,Mixed-gender,-,40h,"Badminton, Basketball, Floorball, Artistic Gymnastics, Outdoor Adventure, Modular CCA (Sports)","Choir, Modern Dance, Ukulele Ensemble","Art and Crafts, Design and Innovation, Environmental Science, Infocomm Technology (Media Production)",Scouts
Tanjong Katong Primary School,Marine Parade,Mixed-gender,-,,"Hockey, Netball, Football, Floorball","Choir, Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, Infocomm Technology (Media Production)",Scouts
Sembawang Primary School,Sembawang,Mixed-gender,-,,"Rugby, Softball, Track and Field, Table Tennis, Bowling","Chinese Orchestra, Choir, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, International Chess, Infocomm Technology (Computing), Media Resource Library, Physical Science",Red Cross Youth
North Spring Primary School,Sengkang,Mixed-gender,-,,"Badminton, Basketball, Football, Wushu","Choir, Guitar Ensemble, String Ensemble, English Drama, Tap Dance","Art and Crafts, Ceramics, Media Resource Library","Scouts, Girl Guides (Brownies)"
Poi Ching School,Tampines,"Gov-aided, Mixed-gender, SAP",-,40h,"Badminton, Basketball, Table Tennis, Wushu, Volleyball, Outdoor Adventure","Chinese Orchestra, Brass Band, Chinese Dance, Opera/Operatta, Chinese Drums","Art and Crafts, Chinese Calligraphy and Brush Painting, Infocomm Technology (Computing), Physical Science","Scouts, Girl Guides (Brownies)"
Chua Chu Kang Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Basketball, Football, Floorball","Choir, Percussion Ensemble, Chinese Dance, Indian Dance, Malay Dance, English Drama","Art and Crafts, Robotics, Environmental Science",Scouts
Dazhong Primary School,Bukit Batok,Mixed-gender,-,,"Netball, Football, Wushu","Choir, Western Orchestra, Modern Dance","Art and Crafts, Design and Innovation","Scouts, Girl Guides (Brownies)"
Corporation Primary School,Jurong West,Mixed-gender,-,,"Basketball, Netball, Football, Volleyball","Choir, Percussion Ensemble, Modern Dance, Chinese Dance, Malay Dance","Art and Crafts, Environmental Science","Red Cross Youth, Girl Guides (Brownies)"
Cedar Primary School,Toa Payoh,Mixed-gender,-,,"Football, Softball, Track and Field, Outdoor Adventure, Modular CCA (Sports)","Angklung/Kulintang Ensemble, Brass Band, Modern Dance","Art and Crafts, English Language, Drama and Debating, Robotics, Design and Innovation, Infocomm Technology (Media Production), Community Service","Boys’ Brigade, Girls’ Brigade"
Fuchun Primary School,Woodlands,Mixed-gender,-,,"Badminton, Basketball, Football, Table Tennis","Choir, Guitar Ensemble, String Ensemble, Brass Band, Modern Dance","Art and Crafts, English Language, Drama and Debating, Environmental Science, Infocomm Technology (Media Production)","Scouts, Girl Guides (Brownies)"
"St. Anthony’s Canossian Primary School - Girls only, Affiliated",Bedok,"Gov-aided, Girls only",St. Anthony’s Canossian Secondary School,,"Netball, Track and Field, Tennis, Taekwondo, Bowling, Rope Skipping","Choir, Modern Dance, Chinese Dance, Concert Band","Art and Crafts, Infocomm Technology (Media Production)",Girl Guides (Brownies)
Park View Primary School,Pasir Ris,Mixed-gender,-,,"Hockey, Netball, Football, Wushu, Volleyball","Choir, Guzheng Ensemble, Modern Dance","Art and Crafts, English Language, Drama and Debating, Infocomm Technology (Media Production)",Scouts
Fern Green Primary School,Sengkang,Mixed-gender,-,,"Basketball, Football, Tchoukball","Choir, Modern Dance, English Drama","Art and Crafts, Outdoor Activities Club, Infocomm Technology (Media Production)",Scouts
Bukit Timah Primary School,Bukit Timah,Mixed-gender,-,,"Badminton, Basketball, Rugby, Football, Wushu, Tchoukball, Modular CCA (Sports)","Choir, Brass Band, Modern Dance, English Drama","Art and Crafts, Infocomm Technology (Computing), Environmental Science","Boys’ Brigade, Scouts"
Punggol Green Primary School,Punggol,Mixed-gender,-,,,,,
Palm View Primary School,Sengkang,Mixed-gender,-,,"Badminton, Basketball, Netball, Football, Table Tennis","Choir, String Ensemble, Modern Dance, English Drama","Art and Crafts, Robotics, Physical Science",Red Cross Youth
Northshore Primary School,Punggol,Mixed-gender,-,,,,,
South View Primary School,Choa Chu Kang,Mixed-gender,-,,"Badminton, Netball, Football, Floorball, Modular CCA (Sports)","Chinese Orchestra, Choir, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics, Digital Media, Media Resource Library, Physical Science","Boys’ Brigade, Girls’ Brigade, Scouts"
Maha Bodhi School - Affiliated,Geylang,"Gov-aided, Mixed-gender, SAP",Manjusri Secondary School,,"Badminton, Basketball, Wushu","Chinese Orchestra, Choir, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance, Concert Band","Art and Crafts, Lion and Dragon Dance, Robotics, English Culture and Language, Media Resource Library, Home Economics, Physical Science",Scouts
Mayflower Primary School,Ang Mo Kio,Mixed-gender,-,,"Netball, Taekwondo, Volleyball, Tchoukball","Choir, String Ensemble, Guzheng Ensemble, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Environmental Science, Infocomm Technology (Media Production)","Boys’ Brigade, Girls’ Brigade, Scouts"
De La Salle School - Affiliated,Choa Chu Kang,"Gov-aided, Mixed-gender","St. Joseph’s Institution, St. Patrick’s School",,"Basketball, Rugby, Wushu","Choir, Chinese Dance, Indian Dance, Malay Dance","Art and Crafts, Robotics","Scouts, Girl Guides (Brownies)"
